series,genre,date_published,rate,award,english_lan
0,Fantasy,2006.0,4.32,5,1
0,Fiction,2012.0,3.67,2,1
0,Romance,2011.0,3.5,0,1
0,Other,2007.0,3.82,0,1
1,Young Adult,2013.0,3.74,1,1
0,Fiction,2003.0,3.59,5,1
1,Young Adult,2011.0,3.98,1,1
1,Young Adult,2004.0,4.04,5,1
1,Science Fiction,2007.0,4.19,3,1
0,Romance,2004.0,3.83,0,1
0,Fiction,2006.0,4.08,0,1
1,Fiction,2004.0,3.87,2,1
1,Young Adult,2006.0,3.87,5,1
1,Mystery,2005.0,3.8,2,1
1,Young Adult,2012.0,4.27,1,1
1,Science Fiction,2014.0,3.73,5,1
1,Young Adult,2014.0,3.8,5,1
0,Fiction,2013.0,3.7,5,1
1,Horror,2013.0,4.1,5,1
0,Horror,2010.0,4.05,3,1
1,Young Adult,2009.0,3.89,0,1
0,Fiction,2007.0,3.77,4,1
0,Fiction,2010.0,3.97,5,0
0,Other,2012.0,3.46,0,1
1,Nonfiction,2015.0,4.26,4,0
0,Historical,2006.0,3.66,4,1
1,Mystery,2002.0,4.12,0,1
0,Horror,2007.0,4.02,4,1
1,Young Adult,2011.0,3.86,2,1
0,Historical,2007.0,3.64,5,1
0,Historical,2006.0,3.7,5,1
0,Fiction,2003.0,3.83,2,1
1,Historical,2007.0,4.13,2,1
1,Young Adult,2011.0,3.87,1,1
1,Fantasy,2003.0,3.98,3,1
0,Historical,2008.0,3.99,0,1
1,Romance,2012.0,4.27,0,1
0,Historical,2004.0,3.79,2,1
0,Fiction,2014.0,4.28,3,1
1,Thriller,2010.0,3.66,0,1
1,Young Adult,2013.0,3.53,0,1
0,Fiction,2008.0,3.68,3,1
1,Fantasy,2001.0,4.13,0,1
1,Fantasy,2010.0,3.89,5,1
0,Nonfiction,2017.0,4.06,5,1
1,Fiction,2013.0,4.41,2,1
1,Fantasy,2008.0,4.44,0,1
0,Fiction,2008.0,3.61,1,1
1,Fantasy,2007.0,4.36,0,1
0,Fiction,2004.0,3.77,0,1
0,Thriller,2010.0,4.19,0,1
1,Young Adult,2007.0,3.61,2,1
0,Young Adult,2006.0,4.13,5,1
0,Other,2006.0,3.92,3,1
1,Sequential Art,2003.0,4.08,0,1
0,Other,2005.0,3.94,3,1
0,Other,2010.0,4.81,0,1
1,Fantasy,2012.0,4.37,0,1
0,Horror,2013.0,3.92,3,1
0,History,2013.0,4.3,0,1
1,Young Adult,2010.0,3.9,3,1
1,Fiction,2015.0,3.96,5,1
0,Nonfiction,2007.0,3.79,0,1
1,Fantasy,2004.0,4.27,0,1
1,Fantasy,2015.0,4.18,2,1
0,Fiction,2013.0,4.25,1,1
1,Science Fiction,2006.0,4.04,5,1
0,Fiction,2002.0,3.56,2,1
1,Mystery,2004.0,4.13,0,1
1,Young Adult,2012.0,4.14,0,1
1,Fantasy,2012.0,4.03,5,1
1,Fiction,2011.0,4.09,1,1
1,Young Adult,2010.0,3.95,3,1
1,Fantasy,2006.0,3.86,3,1
1,Fantasy,2006.0,4.32,2,1
0,Fiction,2006.0,3.51,1,1
0,Other,2003.0,3.93,3,1
0,Fiction,2014.0,3.99,4,1
0,Young Adult,2008.0,4.0,0,1
1,Young Adult,2010.0,3.68,1,1
0,History,2003.0,4.25,5,1
0,Fiction,2017.0,3.75,5,1
0,Fiction,2009.0,4.29,5,1
1,Science Fiction,2014.0,4.4,5,1
0,Fiction,2013.0,3.92,5,1
1,Young Adult,2013.0,3.62,1,1
0,Fiction,2008.0,4.07,4,1
1,Fantasy,2010.0,4.3,5,1
1,Historical,2012.0,4.0,5,1
0,Nonfiction,2007.0,4.01,1,1
1,Fantasy,2005.0,3.92,5,1
0,Fiction,2006.0,4.04,1,1
0,Nonfiction,2004.0,3.98,1,1
0,Nonfiction,2010.0,4.07,5,1
1,Fantasy,2011.0,4.31,5,1
0,Fantasy,2006.0,4.06,5,1
1,Young Adult,2020.0,4.16,0,1
0,Historical,2006.0,3.79,5,1
1,Fiction,2003.0,3.95,1,1
1,Fantasy,2008.0,4.06,5,1
0,Fiction,2006.0,3.73,5,1
1,Historical,2007.0,4.26,0,1
0,Historical,2002.0,3.98,1,1
1,Fantasy,2009.0,4.5,4,1
1,Fantasy,2013.0,3.52,0,1
1,Young Adult,2009.0,4.03,5,1
1,Fantasy,2006.0,4.24,0,1
0,Fiction,2010.0,4.41,0,1
0,Fiction,2010.0,3.76,5,1
